,marca,marca_colavoracion,modelo
0,Abarth,,Anexo:Modelos de 
1,Abarth,, 500
2,Abarth,, 500C
3,Abarth,, 695 Tributo Ferrari
4,Abarth,, Grande Punto S2000
5,Abarth,, Grande Punto
6,Abarth,,Lancia LC2
7,Acura,, ARX-02
8,Acura,, ARX-06
9,Acura,, CL-X
10,Acura,, ARX-01
11,Acura,, MDX
12,Acura,, RDX
13,Acura,, RSX
14,Acura,, TL
15,Acura,, TLX
16,Acura,, TSX
17,AMC,, Ambassador
18,AMC,,Nash Ambassador
19,AMC,,Nash 600
20,AMC,,Rambler American
21,AMC,, Amitron
22,AMC,, AMX-GT
23,AMC,, AMX
24,AMC,, AMX III
25,AMC,, Cavalier
26,AMC,, Concord
27,AMC,, Eagle
28,AMC,, Electron
29,AMC,, Gremlin
30,AMC,, Hornet
31,AMC,,Hudson Hornet
32,AMC,,Hudson Italia
33,AMC,,Hudson Jet
34,AMC,,Hudson Wasp
35,AMC,, Javelin
36,AMC,,Jeep CJ
37,AMC,,Rambler Marlin
38,AMC,, Matador
39,AMC,,M422 Mighty Mite
40,AMC,,Nash Metropolitan
41,AMC,, Pacer
42,AMC,,Rambler Classic
43,AMC,Rambler,Six y V8
44,AMC,,Nash Rambler
45,AMC,, Rebel
46,AMC,,Rambler Rebel
47,AMC,, Spirit
48,AMC,, Rambler Tarpon
49,Aston Martin,, 2-Litre Sports
50,Aston Martin,, Atom
51,Aston Martin,, Victor
52,Aston Martin,, Bulldog
53,Aston Martin,, Cygnet
54,Aston Martin,, DB AR1
55,Aston Martin,, DB2
56,Aston Martin,, DB2/4
57,Aston Martin,, DB Mark III
58,Aston Martin,, DB3
59,Aston Martin,, DB4
60,Aston Martin,, DB4 GT Zagato
61,Aston Martin,, DB5
62,Aston Martin,, DB6
63,Aston Martin,, DB7
64,Aston Martin,, DB7 Vantage Zagato
65,Aston Martin,, DB9
66,Aston Martin,, DB10
67,Aston Martin,, DB11
68,Aston Martin,, DB12
69,Aston Martin,, DBRS9
70,Aston Martin,, DBS
71,Aston Martin,, DBS Superleggera
72,Aston Martin,, DBS V12
73,Aston Martin,, Lagonda
74,Aston Martin,, One-77
75,Aston Martin,,Plataforma VH de 
76,Aston Martin,, Rapide
77,Aston Martin,, V8
78,Aston Martin,, V8 (desambiguación)
79,Aston Martin,, V8 Vantage (1977)
80,Aston Martin,, V8 Vantage (desambiguación)
81,Aston Martin,, V8 Vantage Zagato
82,Aston Martin,, Valhalla
83,Aston Martin,, Valkyrie
84,Aston Martin,, Vanquish
85,Aston Martin,, Vantage
86,Aston Martin,, Virage
87,Aston Martin,, Vulcan
88,Audi,, 50
89,Audi,, 80
90,Audi,, 100
91,Audi,, A1
